year	value
1970	425491.66
1971	158732.64
1972	345023.03
1973	175267.29
1974	190699.63
1975	386910.81
1976	401240.84
1977	304237.56
1978	433207.83
1979	701069.16
1980	227075.86
1981	52910.88
1982	13227.72
1983	423287.04
1984	31966.99
1985	93696.35
1986	20943.89
1987	41887.78
1988	209438.9
1989	180778.84
1990	67240.91
1991	475095.61
1992	184085.77
1993	154323.4
1994	143300.3
1995	13227.72
1996	88184.8
1997	79366.32
1998	14330.03
1999	30864.68
2000	15432.34
2001	9920.79
2002	72752.46
2003	48501.64
2004	17636.96
2005	19841.58
2006	25353.13
2007	20943.89
2008	2204.62
2009	3306.93
2010	13227.72
2011	2204.62
2012	1102.31
2013	7716.17
