date	spx
2014.17	1839.03
2014.00	1848.36
2013.75	1681.55
2013.50	1606.28
2013.25	1569.19
2013.00	1426.19
2012.75	1440.67
2012.50	1362.16
2012.25	1408.47
2012.00	1257.6
2011.75	1131.42
2011.50	1320.64
2011.25	1325.83
2011.00	1257.64
2010.75	1141.2
2010.50	1030.71
2010.25	1169.43
2010.00	1115.1
2009.75	1057.08
2009.50	919.32
2009.25	797.87
2009.00	903.25
2008.75	1166.36
2008.50	1280
2008.25	1322.7
2008.00	1468.36
2007.75	1526.75
2007.50	1503.35
2007.25	1420.86
2007.00	1418.3
2006.75	1335.85
2006.50	1270.2
2006.25	1294.83
2006.00	1248.29
2005.75	1228.81
2005.50	1191.33
2005.25	1180.59
2005.00	1211.92
2004.75	1114.58
2004.50	1140.84
2004.25	1126.21
2004.00	1111.92
2003.75	995.97
2003.50	974.5
2003.25	848.18
2003.00	879.82
2002.75	815.28
2002.50	989.81
2002.25	1147.39
2002.00	1148.08
2001.75	1040.94
2001.50	1224.42
2001.25	1160.33
2001.00	1320.28
2000.75	1436.51
2000.50	1454.6
2000.25	1498.58
2000.00	1469.25
1999.75	1282.71
1999.50	1372.71
1999.25	1286.37
1999.00	1229.23
1998.75	1017.01
1998.50	1133.84
1998.25	1101.75
1998.00	970.43
1997.75	947.28
1997.50	885.14
1997.25	757.12
1997.00	740.74
1996.75	687.31
1996.50	670.63
1996.25	645.5
1996.00	615.93
1995.75	584.41
1995.50	544.75
1995.25	500.71
1995.00	459.27
1994.75	462.69
1994.50	444.27
1994.25	445.77
1994.00	466.45
1993.75	458.93
1993.50	450.53
1993.25	451.67
1993.00	435.71
1992.75	417.8
1992.50	408.14
1992.25	403.69
1992.00	417.09
1991.75	387.86
1991.50	371.16
1991.25	375.22
1991.00	330.22
1990.75	306.05
1990.50	358.02
1990.25	339.94
1990.00	353.4
1989.75	349.15
1989.50	317.98
1989.25	294.87
1989.00	277.72
1988.75	271.91
1988.50	273.5
1988.25	258.89
1988.00	247.08
1987.75	321.83
1987.50	304
1987.25	291.7
1987.00	242.17
1986.75	231.32
1986.50	250.84
1986.25	238.9
1986.00	211.28
1985.75	182.08
1985.50	191.85
1985.25	180.66
1985.00	167.24
1984.75	166.1
1984.50	153.18
1984.25	159.18
1984.00	164.93
1983.75	166.07
1983.50	168.11
1983.25	152.96
1983.00	140.64
1982.75	120.42
1982.50	109.61
1982.25	111.96
1982.00	122.55
1981.75	116.18
1981.50	131.21
1981.25	136
1981.00	135.76
1980.75	125.46
1980.50	114.24
1980.25	102.09
1980.00	107.94
1979.75	109.32
1979.50	102.91
1979.25	101.59
1979.00	96.11
1978.75	102.54
1978.50	95.53
1978.25	89.21
1978.00	95.1
1977.75	96.53
1977.50	100.48
1977.25	98.42
1977.00	107.46
1976.75	105.24
1976.50	104.28
1976.25	102.77
1976.00	90.19
1975.75	83.87
1975.50	95.19
1975.25	83.36
1975.00	68.56
1974.75	63.54
1974.50	86
1974.25	93.98
1974.00	97.55
1973.75	108.43
1973.50	104.26
1973.25	111.52
1973.00	118.05
1972.75	110.55
1972.50	107.14
1972.25	107.2
1972.00	102.09
1971.75	98.34
1971.50	99.7
1971.25	100.31
1971.00	92.15
1970.75	84.21
1970.50	72.72
1970.25	89.63
1970.00	92.06
1969.75	93.12
1969.50	97.71
1969.25	101.51
1969.00	103.86
1968.75	102.67
1968.50	99.58
1968.25	90.2
1968.00	96.47
1967.75	96.71
1967.50	90.64
1967.25	90.2
1967.00	80.33
1966.75	76.56
1966.50	84.74
1966.25	89.23
1966.00	92.43
1965.75	89.96
1965.50	84.12
1965.25	86.16
1965.00	84.75
1964.75	84.18
1964.50	81.69
1964.25	78.98
1964.00	75.02
1963.75	71.7
1963.50	69.37
1963.25	66.57
1963.00	63.1
1962.75	56.27
1962.50	54.75
1962.25	69.55
1962.00	71.55
1961.75	66.73
1961.50	64.64
1961.25	65.06
1961.00	58.11
1960.75	53.52
1960.50	56.92
1960.25	55.34
1960.00	59.89
1959.75	56.88
1959.50	58.47
1959.25	55.44
1959.00	55.21
1958.75	50.06
1958.50	45.24
1958.25	42.1
1958.00	39.99
1957.75	42.42
1957.50	47.37
1957.25	44.11
1957.00	46.67
1956.75	45.35
1956.50	46.97
1956.25	48.48
1956.00	45.48
1955.75	43.67
1955.50	41.03
1955.25	36.58
1955.00	35.98
1954.75	32.31
1954.50	29.21
1954.25	26.94
1954.00	24.81
1953.75	23.35
1953.50	24.14
1953.25	25.29
1953.00	26.57
1952.75	24.54
1952.50	24.96
1952.25	24.37
1952.00	23.77
1951.75	23.26
1951.50	20.96
1951.25	21.48
1951.00	20.43
1950.75	19.45
1950.50	17.69
1950.25	17.29
1950.00	16.79
1949.75	15.58
1949.50	14.16
1949.25	15.06
1949.00	15.2
1948.75	15.49
1948.50	16.74
1948.25	15.08
1948.00	15.3
1947.75	15.11
1947.50	15.21
1947.25	15.17
1947.00	15.3
1946.75	14.96
1946.50	18.43
1946.25	18.04
1946.00	17.36
1945.75	16.05
1945.50	14.87
1945.25	13.61
1945.00	13.28
1944.75	12.74
1944.50	12.98
1944.25	12.02
1944.00	11.67
1943.75	12.08
1943.50	12.35
1943.25	11.58
1943.00	9.77
1942.75	8.85
1942.50	8.3
1942.25	8.01
1942.00	8.69
1941.75	10.2
1941.50	9.85
1941.25	9.96
1941.00	10.58
1940.75	10.66
1940.50	9.98
1940.25	12.18
1940.00	12.46
1939.75	12.79
1939.50	10.86
1939.25	10.98
1939.00	13.14
1938.75	12.24
1938.50	11.56
1938.25	8.5
1938.00	10.55
1937.75	13.76
1937.50	15.4
1937.25	17.92
1937.00	17.18
1936.75	16.01
1936.50	14.84
1936.25	14.92
1936.00	13.43
1935.75	11.59
1935.50	10.24
1935.25	8.45
1935.00	9.5
1934.75	9.08
1934.50	9.81
1934.25	10.62
1934.00	9.97
1933.75	9.72
1933.50	10.91
1933.25	5.85
1933.00	6.92
1932.75	8.08
1932.50	4.43
1932.25	7.31
1932.00	8.12
1931.75	9.71
1931.50	14.83
1931.25	16.69
1931.00	15.34
1930.75	18.59
1930.50	20.46
1930.25	25.14
1930.00	21.45
1929.75	30.16
1929.50	27.41
1929.25	25.53
1929.00	24.35
1928.75	21.14
1928.50	19.14
1928.25	19.28
1928.00	17.66
